# phenotype data from Gatti et al. (2014) G3 4:1623-1633
# nrow 742
# ncol 3
id,WBC,NEUT
JAXW202.3173,5.48,381.96
JAXW202.3174,8.88,906.65
JAXW202.3175,8.46,1444.12
JAXW202.3177,8.86,2582.69
JAXW202.3178,6.32,757.136
JAXW202.3179,6.14,817.234
JAXW202.3180,7.14,1147.398
JAXW202.3181,8.64,1275.264
JAXW202.3182,7.12,1374.16
JAXW202.3183,6.68,502.336
JAXW202.3184,4.56,650.256
JAXW202.3185,4,422.4
JAXW202.3186,5.2,558.48
JAXW202.3187,4.96,960.256
JAXW202.3188,3.44,561.752
JAXW202.3189,6.34,1266.098
JAXW202.3190,5.38,1086.76
JAXW202.3191,6.62,797.048
JAXW202.3193,5,959.5
JAXW202.3194,5.34,899.256
JAXW202.3195,5.28,531.696
JAXW202.3196,8,930.4
JAXW202.3197,4.88,319.152
JAXW202.3198,3.66,513.864
JAXW202.3199,7.62,970.026
JAXW202.3200,9.28,1436.544
JAXW202.3201,5.36,444.344
JAXW202.3202,4.68,506.376
JAXW202.3203,6.58,806.708
JAXW202.3204,3.62,553.498
JAXW202.3205,8.98,1150.338
JAXW202.3206,6,834.6
JAXW202.3207,7.54,947.024
JAXW202.3208,4.38,522.972
JAXW202.3209,7.94,1305.336
JAXW202.3210,4.48,557.76
JAXW202.3211,3.96,422.136
JAXW202.3212,6.06,1064.742
JAXW202.3215,4.64,709.92
JAXW202.3216,3.2,547.2
JAXW202.3217,9.58,1086.372
JAXW202.3218,16.74,2683.422
JAXW202.3219,4.06,645.946
JAXW202.3220,7.24,1045.456
JAXW202.3221,4.2,286.02
JAXW202.3222,3.84,873.216
JAXW202.3223,4.84,1085.612
JAXW202.3224,4.46,600.316
JAXW202.3225,6.94,859.866
JAXW202.3226,9.32,1512.636
JAXW202.3227,8.58,1003.002
JAXW202.3228,4,337.2
JAXW202.3229,9,1694.7
JAXW202.3230,7.14,1700.748
JAXW202.3231,9.4,1795.4
JAXW202.3232,5.32,1123.584
JAXW202.3233,3.66,1128.012
JAXW202.3234,5.84,1333.272
JAXW202.3235,3.26,311.982
JAXW202.3237,6.36,816.624
JAXW202.3238,9.24,1404.48
JAXW202.3240,6.2,1244.96
JAXW202.3241,2.88,508.32
JAXW202.3242,5.22,1419.318
JAXW202.3243,4.22,926.712
JAXW202.3245,4.88,1013.088
JAXW202.3246,6.4,547.84
JAXW202.3247,8.62,1258.52
JAXW202.3248,2.46,380.07
JAXW202.3249,6.54,1009.122
JAXW202.3250,4.1,624.84
