# Arabidopsis MAGIC phenotype data, Gnan et al (2014) 10.1534/genetics.114.170746
# nrow 677
# ncol 9
id,bolting_days,seed_weight,seed_area,ttl_seedspfruit,branches,height,pc_seeds_aborted,fruit_length
MAGIC.248,36.67,16.44,0.7,53.89,6,56.25,0.22,14.06
MAGIC.249,67,16.46,0.85,30.27,11.67,NA,2.65,11.48
MAGIC.250,20.33,22.03,0.72,65.22,5.33,36.77,0.37,15.33
MAGIC.251,31.67,25.9,0.85,33.44,5.67,34.3,7.15,11.77
MAGIC.252,34,27,0.85,52.11,5.67,48.83,0,14.14
MAGIC.253,15.67,21.33,0.72,43.89,7.33,36.5,0.31,14.88
MAGIC.254,19,23.1,0.8,48.33,7,NA,0.18,13.9
MAGIC.255,24.67,22.79,0.74,52,4.33,40.43,0,15.08
MAGIC.256,21,24.85,0.84,52.39,7.33,NA,0,14.62
MAGIC.257,18.67,24.4,0.84,42.89,6.33,NA,0,15.72
MAGIC.258,18,17.68,0.61,59.67,4.67,50.7,0,15.86
MAGIC.259,19.33,24,0.75,62.78,5.67,49.73,0,16.85
MAGIC.260,17.33,23.82,0.75,61.33,6.67,NA,0.18,17.51
MAGIC.261,18.33,21.23,0.71,53.22,8,47.87,0.2,14.16
MAGIC.262,20.33,19.44,0.66,64.22,4.67,45.6,0,17.12
MAGIC.263,20.33,23.7,0.81,56.39,6.33,47.4,0,14.28
MAGIC.264,16,20.75,0.71,39.11,6,39.3,0,15.05
MAGIC.265,19,19.98,0.66,70.89,5,NA,0.18,18.13
MAGIC.266,22.33,24.84,0.78,59.44,8,34.5,0.37,15.97
MAGIC.267,19.33,21.86,0.73,55,6.33,23,0,14.04
MAGIC.268,24.67,29.83,0.92,48.22,4.67,NA,0,14.56
MAGIC.269,19,19.14,0.68,46.56,7.67,45.9,0,13.5
MAGIC.270,23,24.15,0.75,55.56,5,39.1,0.38,15.45
MAGIC.271,19.33,21.8,0.74,58.89,3.33,NA,0.69,19.39
MAGIC.272,29.33,24.97,0.81,53.89,4.33,41.77,0.53,16.54
MAGIC.273,23.67,21.58,0.75,56,8,43,0.2,14.34
MAGIC.274,22.33,20.24,0.67,55.44,5.67,47.53,0.22,13.08
MAGIC.275,20.67,21.54,0.73,54.78,5.67,NA,0.22,14.16
MAGIC.276,15.67,20.78,0.71,67.56,7.33,NA,0.32,17.47
MAGIC.277,21,21.59,0.77,62.33,5,44.5,0,14.45
MAGIC.278,16.33,22.06,0.79,34.67,8.67,41.75,0.63,13.73
MAGIC.279,40.33,16.46,0.62,57,6.67,53.67,0,13.99
MAGIC.280,20.67,23.75,0.77,42.22,5.33,52.27,0.22,14.6
MAGIC.282,34.33,21.69,0.75,45.11,6.33,45.75,0,14.8
MAGIC.283,32.67,25.98,0.83,47,4.67,43.5,0.26,14.48
MAGIC.284,21.33,19.67,0.7,48.89,8.67,53.83,0,14.84
MAGIC.285,26.67,24.82,0.81,55.22,5.33,38.75,1.75,16.29
MAGIC.286,18.33,22.14,0.76,52.67,5.67,38.25,0.36,15.85
MAGIC.287,23.33,25.05,0.85,48.11,3.67,NA,0,16.18
MAGIC.288,38.33,22.75,0.78,46.67,7.33,42.77,1.2,15.13
MAGIC.289,20,19.47,0.71,48.33,6.67,20.57,0.89,11.39
MAGIC.290,27.67,20.97,0.72,50,4.33,19.55,0.48,10.47
MAGIC.291,16.33,16.92,0.64,53,5.67,35.07,0,14.36
MAGIC.292,18,26.97,0.82,58.56,7.33,44.4,0.18,14.77
MAGIC.293,15,19.51,0.69,58.56,7.67,NA,0.19,15.54
MAGIC.294,20.33,21.88,0.72,57.89,4.33,55,0.19,14.74
MAGIC.295,20.67,21.45,0.74,57.44,5,36.45,0.19,14.76
MAGIC.296,18.33,20.69,0.71,66.11,4.67,35.5,0.16,16.35
MAGIC.297,17.33,22.75,0.72,80.11,4.33,40.75,1.08,18.91
MAGIC.298,17.33,20.7,0.74,48.44,8.33,48.93,4.07,14.59
MAGIC.299,14.67,22,0.71,61.89,7,NA,0,15.11
MAGIC.300,22,19.64,0.71,55.33,2.67,47,0.9,15.73
MAGIC.301,18.33,20.39,0.69,59.89,6.67,41.05,0,16.79
MAGIC.302,13,17.17,0.58,68.11,6.33,38.75,0,15.71
MAGIC.303,17,22.09,0.75,50.44,5.67,49.5,0,16.41
MAGIC.304,16.33,19.63,0.66,58.25,7.33,43.83,0.13,14.46
MAGIC.305,19.33,22.4,0.74,58.44,4,36.85,0,15.94
MAGIC.306,29,28.57,0.89,35.33,7.33,36.5,0,10.62
MAGIC.307,19.67,23.61,0.79,67.78,3,NA,0.49,18.44
MAGIC.308,19.33,17.81,0.6,63.44,5.67,NA,0.17,14.19
MAGIC.309,46.67,18.32,0.7,48.78,6,27.67,0.47,13.64
MAGIC.310,19.67,21.11,0.75,48,7.33,51.8,0,13.58
MAGIC.311,17,23.51,0.79,51,5.33,44.55,0.44,14.15
MAGIC.312,17.33,19.4,0.68,62.11,7.33,39.4,0.18,18.63
MAGIC.313,19.33,23.73,0.79,49.86,6.67,43.55,0.21,16.3
MAGIC.314,28.67,22.26,0.74,48.89,5.33,56.27,0,13.74
MAGIC.315,18.33,24.39,0.77,52.11,4,51.75,0.2,14.43
MAGIC.316,19.67,21.35,0.7,57.44,3.33,40.8,1.94,17
MAGIC.317,17.33,20.14,0.69,63,4.33,NA,0.19,16.03
MAGIC.318,13,20.54,0.65,48.67,4.67,36,0,12.56
MAGIC.319,18.67,25.56,0.82,62.89,5.33,39.9,0.84,15.99
MAGIC.320,22,20.76,0.74,56.83,3.67,NA,0,17.68
MAGIC.321,23,22.69,0.75,53.11,5,NA,0,15.03
MAGIC.322,18.33,25.46,0.79,55.67,6.67,NA,0,14.63
MAGIC.323,19.33,21.12,0.71,52.67,5.67,38.25,0,15.67
MAGIC.324,20.67,28.9,0.9,35.11,6.67,53.15,1.96,15.02
MAGIC.325,16.33,23.3,0.8,50,6,NA,0,16.17
MAGIC.326,16.33,19.88,0.71,60.89,6,39.05,0.73,14.63
MAGIC.327,23,22.74,0.72,59.78,5.33,53,1.44,16.27
MAGIC.328,24,19.8,0.67,66.44,3.67,45.5,0.33,16.07
MAGIC.330,17,21.22,0.71,59.44,5,NA,0.18,16.91
MAGIC.331,17,16.79,0.62,60.33,6.33,34.67,0.39,13.66
MAGIC.332,17.67,19.56,0.68,42.89,4.67,NA,0,17.29
MAGIC.333,28.67,23.95,0.75,48.44,3.67,51.87,0.7,14.02
MAGIC.334,22.33,22.1,0.74,52.56,5.33,47.5,0.64,15.13
MAGIC.335,22,21.91,0.7,51,5.33,43.75,0,12.12
MAGIC.336,19.67,22.84,0.77,49.22,4.67,NA,0.19,13.75
MAGIC.337,18.67,18.87,0.68,48.33,6.33,43.33,1,14.64
MAGIC.338,19,21.35,0.71,50.56,5.33,41.37,0.53,14.26
MAGIC.339,18.67,20.75,0.7,55.56,5.33,39.75,0,17.05
MAGIC.340,16.33,18.95,0.68,60.11,7.5,46.5,0,15.68
MAGIC.341,18.33,19.9,0.71,56,8,NA,0.16,16.37
MAGIC.342,18.33,19.99,0.69,48.56,8,46,0.29,14.52
MAGIC.343,30.33,23.41,0.79,55.67,4.67,50.6,0.19,14.85
MAGIC.344,32.33,21.27,0.74,49.11,8,42.33,0.35,12.16
MAGIC.345,24,23.38,0.75,51.78,8,NA,1.15,16.01
MAGIC.346,18.33,19.43,0.73,43.22,4.67,24.5,0,12.81
MAGIC.347,16.33,19.77,0.71,41.81,7.67,NA,2.59,15.39
MAGIC.348,18,22.63,0.73,58.67,5.33,48.75,0,15.44
MAGIC.349,19,22.71,0.78,45,5,43.6,0.42,14.4
MAGIC.350,21.67,20.66,0.74,52.89,6.67,NA,0.17,15.15
MAGIC.351,15.67,23.75,0.77,54.78,5.67,54,0.18,15.2
MAGIC.352,15,20.02,0.69,54.89,7,43.5,0.2,15.04
MAGIC.353,26.33,20.75,0.7,55.22,5.67,49.3,0,12.57
MAGIC.354,25,26.06,0.85,54.44,9,46.9,0,14.98
MAGIC.355,19.67,22.96,0.72,52.89,4,49,0,14.77
MAGIC.356,16.33,20.99,0.71,62.11,5,41.5,0.39,15.64
MAGIC.357,24,26.41,0.87,42.33,4.33,24.35,0,12.34
MAGIC.358,18.67,19.85,0.69,55.33,3.67,47.4,0,14.39
MAGIC.359,53.67,15.89,0.63,45.67,7.33,23.75,0.71,15.14
MAGIC.360,15.33,22.39,0.71,60.11,6.67,NA,0.31,18.53
MAGIC.361,29.33,21.44,0.72,54.11,4.67,42.03,0,18.03
MAGIC.362,20,25.14,0.82,44.11,5,NA,0.68,13.39
MAGIC.363,17.67,22.79,0.76,55.89,7,48.75,0.79,13.61
MAGIC.364,22.67,27.92,0.8,60,8,38.75,0.21,15.94
MAGIC.365,15.67,21.06,0.74,37.61,6,43.5,2.28,13.14
MAGIC.366,23,23.28,0.77,55.56,6.67,38.75,0,15.16
MAGIC.367,17,20.09,0.68,55.56,6.33,45,0.61,15.87
MAGIC.368,21,24.71,0.81,57.22,4.67,NA,2.35,15.03
