# Phenotypes for Maize MAGIC from Dell'Acqua et al (2015) doi:10.1186/s13059-015-0716-z
# nrow 529
# ncol 5
Line,PS,PH,EH,GYrad
26_6,82.6691,138.6288,90.7551,6.2694
26_7,77.8597,131.4353,60.5225,3.2524
26_8,75.3167,135.6934,72.8873,4.1588
26_9,70.0175,196.0322,105.6547,10.712
27_2,75.8112,131.8385,63.9943,7.0206
27_25,77.5702,182.9917,93.5225,6.8399
27_29,78.5566,152.0966,89.5665,6.0332
27_32,77.4387,148.4112,83.271,7.4665
27_33,83.1705,169.8385,83.6041,5.5306
27_36,76.0695,174.782,94.3903,6.6144
27_4,78.2611,181.0564,91.8245,4.2714
27_41,77.6212,161.3547,90.6547,7.2875
27_42,78.3629,132.7901,83.7804,3.3787
27_48,77.5963,165.9434,95.4155,4.6001
27_50,73.0183,123.1452,64.0383,7.0389
27_52,79.0162,194.0564,105.4661,4.5279
27_55,76.6126,147.8708,79.1388,5.8643
27_56,77.3816,166.0564,93.7428,6.3179
27_6,75.6826,133.3063,69.1012,7.3096
28_19,78.1059,174.0805,65.9126,6.4003
28_21,73.1882,154.9999,78.1453,7.655
28_22,78.083,177.6692,95.1453,4.1009
28_23,77.9088,171.8385,101.2269,6.0323
28_30,74.7615,196.0966,98.6041,8.7861
28_31,79.3565,170.8277,92.5184,9.5161
28_33,80.5549,149.2014,68.0319,5.8462
28_39,78.52542,155.1447,63.6353,4.6273
28_40,75.8354,107.95,44.6106,4.6575
28_41,78.8064,122.024,71.271,7.0081
28_42,80.7255,182.5376,105.8368,5.3235
28_43,79.1914,174.6209,106.0131,5.3971
28_44,77.8893,134.9192,70.3591,4.2927
28_50,72.0622,161.9838,77.7175,5.7888
28_6,73.079,170.5079,78.7804,7.7133
29_1,70.0686,108.31,60.4155,5.5299
29_12,75.2889,184.1129,127.6423,7.4953
29_17,75.9179,149.1773,80.7363,7.8038
29_2,79.0908,117.6611,68.8433,5.4173
29_29,73.5658,142.7284,65.5959,8.643
29_30,71.6298,120.7095,62.0759,6.3161
29_35,77.7505,212.2579,119.3715,9.1812
29_37,74.9834,208.1449,79.8809,7.6328
29_39,74.595,169.3223,85.4784,7.7507
29_4,70.9285,109.4,50.7363,6.6853
29_49,71.846,153.7581,66.5918,4.5251
29_6,76.4811,157.5752,79.2857,7.3078
29_7,79.3749,108.6,45.5037,4.8964
29_8,78.6947,153.3707,81.8997,4.3807
29_9,78.8261,185.9113,100.2081,7.3943
3_11,72.7354,147.024,76.6106,8.2615
3_12,71.0575,149.7255,70.8368,5.7633
3_16,74.0502,109.6451,62.6106,4.0969
3_30,82.1971,132.4837,72.3779,5.3734
3_36,72.2432,151.6771,67.472,7.0236
3_40,79.9127,184.8627,93.7363,6.8889
3_43,81.1555,148.516,73.2457,7.4848
3_44,74.2903,127.4193,75.7428,7.1142
3_46,79.0644,121.5,66.2522,3.6111
3_53,74.2949,142.8868,74.8433,6.3015
3_55,77.0956,132.9032,61.9061,6.5398
3_56,73.3542,142.4193,76.8809,7.0809
3_71,73.2415,139.1129,66.1893,6.1474
3_82,72.6551,175.0645,92.0824,6.055
3_84,81.4213,130.9355,77.2017,5.8901
30_11,80.2834,218.0322,134.8245,6.05
30_12,78.0044,197.4837,112.6987,6.8591
30_13,78.0298,190.4677,87.8497,10.3828
30_16,80.1494,161.1129,82.617,3.9183
30_18,79.7486,162.1773,102.4408,5.0256
30_22,75.5796,159.8466,97.969,4.8601
30_23,71.898,164.6209,82.617,6.9894
30_24,77.4494,174.1933,100.4155,6.8165
30_25,77.7125,153.629,74.1135,6.8547
30_27,78.6228,179.1936,104.8057,6.8723
30_28,80.5805,151.3788,81.5853,3.3988
30_4,73.384,147.5804,77.4408,4.8636
30_6,77.5922,162.4595,80.4849,3.9376
30_7,80.9003,206.3386,104.6735,7.1186
30_8,77.6125,106.8,42.8873,5.23802
31_1,82.8335,179.0805,95.5959,5.7448
31_10,78.9142,162.6611,87.6294,4.4192
31_12,74.9111,132.0159,81.3715,5.4233
31_15,70.4646,205.9675,97.7739,6.8461
31_16,79.2537,148.9192,69.8245,5.5518
31_17,77.9576,181.1933,98.3274,7.4367
31_18,75.7772,210.9515,110.2457,7.6213
31_21,73.6211,106.37,51.3715,4.8356
31_26,77.1092,154.2419,57.0824,3.3167
31_28,76.3558,160.3978,92.573,5.8868
31_30,76.6902,174.1936,93.422,5.9544
31_31,78.9085,228.1289,128.0066,5.6708
31_4,75.762,146.6637,82.2939,4.4875
31_5,78.44702,151.5804,84.3967,8.9601
31_6,76.2194,122.4435,55.7804,5.8878
32_11,78.3459,152.419,84.3838,4.9541
32_18,77.3933,172.3736,84.684,5.26305
32_2,75.9975,165.2903,78.0131,3.8308
32_25,79.2804,198.1129,103.8433,5.4066
32_3,76.7184,144.7418,67.3779,5.8735
32_31,79.0291,153.9355,75.6611,6.9386
32_33,79.7307,154.8466,81.9061,4.6206
32_37,72.8348,191.8385,99.2898,7.844
32_38,80.5905,180.2096,88.7804,9.4694
32_39,72.7249,141.3547,77.573,6.4691
32_40,72.457,119.4353,69.3715,6.0982
32_41,78.39761,152.6611,92.4155,5.7361
32_42,80.9647,199.9675,92.2017,8.2352
32_5,79.5035,222.2256,111.6294,4.92
32_9,73.2689,133.9515,66.4555,5.14057
33_11,77.4883,155.1476,79.5812,8.6787
33_12,80.804,175.2282,77.3421,3.3571
33_13,72.8311,113.5323,48.5665,4.2666
33_18,71.9348,136.7823,47.4408,5.4813
33_19,74.6924,93.83,32.3486,3.4172
33_20,82.4497,222.0642,117.0947,6.5566
33_23,79.184,158.5082,89.8497,5.4165
