id,UNC210000095,UNC210000599,UNC210001275,UNC210001366,UNC210001613
JAXW202-2687,2.741,0.066,0.016,3.109,1.525
JAXW202-2713,2.706,0.064,0.017,3.052,1.453
JAXW202-2737,2.773,0.051,0.018,3.103,1.562
JAXW202-2393,2.629,0.067,0.171,3.074,1.865
JAXW202-2721,2.844,0.051,0.014,3.633,1.431
JAXW202-2651,2.725,0.348,0.153,2.965,1.798
JAXW202-2659,2.689,0.343,0.155,3.063,1.866
JAXW202-2671,2.662,0.072,0.035,2.998,1.526
JAXW202-2679,2.699,0.074,0.03,2.834,1.494
JAXW202-2688,2.736,0.06,0.017,3.05,1.153
JAXW202-2697,2.45,0.068,0.022,2.954,1.441
JAXW202-2706,2.572,0.071,0.03,3.003,1.354
JAXW202-2394,2.821,0.289,0.147,3.13,1.816
JAXW202-2722,3.505,0.041,0.015,4.114,1.536
JAXW202-2642,2.746,0.322,0.152,3.202,1.922
JAXW202-2672,2.72,0.073,0.027,3.471,1.305
JAXW202-2680,3.025,0.074,0.026,3.302,1.474
JAXW202-2689,2.641,0.05,0.036,3.048,1.501
JAXW202-2698,2.596,0.085,0.02,3.028,1.445
JAXW202-2707,2.543,0.094,0.028,2.905,1.318
JAXW202-2715,2.674,0.07,0.042,3.167,1.385
JAXW202-2387,2.846,0.351,0.153,3.522,1.876
JAXW202-2395,2.753,0.324,0.17,3.263,1.927
JAXW202-2723,2.859,0.033,0.004,3.263,1.497
JAXW202-2643,2.706,0.356,0.144,3.074,2.019
JAXW202-2681,2.674,0.078,0.036,2.9,1.499
JAXW202-2699,2.698,0.07,0.02,3.064,1.314
JAXW202-2708,2.561,0.085,0.034,2.935,1.487
JAXW202-2716,2.574,0.081,0.022,2.974,1.459
JAXW202-2388,2.739,0.282,0.163,3.099,1.822
JAXW202-2724,2.592,0.065,0.028,3.016,1.401
JAXW202-2663,3.295,0.248,0.121,3.362,1.199
JAXW202-2683,2.766,0.079,0.016,3.139,1.465
JAXW202-2692,2.704,0.075,0.029,2.996,1.469
JAXW202-2389,2.813,0.298,0.156,3.09,1.854
JAXW202-2397,2.846,0.289,0.168,3.355,1.958
JAXW202-2725,2.691,0.06,0.029,3.1,1.516
JAXW202-2645,2.906,0.299,0.169,3.193,1.913
JAXW202-2655,2.633,0.35,0.174,3.077,1.865
JAXW202-2665,2.74,0.084,0.029,2.855,1.475
JAXW202-2675,2.82,0.073,0.208,3.194,1.786
JAXW202-2693,2.804,0.081,0.035,3.204,1.318
JAXW202-2390,2.741,0.305,0.162,3.188,1.838
JAXW202-2398,2.851,0.315,0.175,2.986,1.792
JAXW202-2726,2.779,0.069,0.031,2.813,1.247
JAXW202-2667,2.757,0.079,0.033,2.915,1.451
JAXW202-2694,2.87,0.072,0.03,3.14,1.581
JAXW202-2703,2.894,0.08,0.025,3.047,1.375
JAXW202-2711,2.705,0.094,0.028,3.031,1.238
JAXW202-2719,2.78,0.087,0.023,3.065,1.385
JAXW202-2391,2.898,0.502,0.283,3.177,2.017
JAXW202-2727,3.509,0.027,0.014,3.796,1.572
JAXW202-2728,2.612,0.051,0.014,3.019,1.367
JAXW202-2736,2.433,0.048,0.026,2.854,1.393
